id,tool,severity,risk_score,ml_risk_score,model_uncertainty,title,in_kev,confidence_score,priority
CVE-2024-38286,Snyk,HIGH,54.5,50.7159087394502,28.87178458408787,Allocation of Resources Without Limits or Throttling,0,0.4,P3_7D
CVE-2026-0603,Trivy,HIGH,52.9,50.24360892945055,25.231112332749298,org.hibernate/hibernate-core: Hibernate: Information disclosure and data deletion via second-order SQL injection,0,0.4,P3_7D
CVE-2025-41242,Snyk,HIGH,54.2,50.11057191940704,24.448411993217157,Relative Path Traversal,0,0.4,P3_7D
CVE-2025-48988,Snyk,HIGH,70.9,68.47379688939094,11.047005415554054,Allocation of Resources Without Limits or Throttling,0,0.6,P2_72H
CVE-2022-23181,Snyk,HIGH,50.2,43.5664881707239,25.633411628278765,Privilege Escalation,0,0.4,P3_7D
CVE-2023-6481,Snyk,HIGH,50.2,43.491763973336205,25.483963628278758,Uncontrolled Resource Consumption ('Resource Exhaustion'),0,0.4,P3_7D
CVE-2026-34500,Snyk,HIGH,56.2,53.59011103787545,19.232688154961984,Improper Authentication,0,0.4,P3_7D
CVE-2026-24880,Snyk,HIGH,56.2,53.59011103787545,19.232688154961984,HTTP Request Smuggling,0,0.4,P3_7D
CVE-2025-52520,Snyk,HIGH,67.3,68.74076368713283,5.485006876218776,Integer Overflow or Wraparound,0,0.6,P3_7D
CVE-2026-22737,Snyk,HIGH,55.4,52.19009827153511,11.953764200337986,Directory Traversal,0,0.4,P3_7D
CVE-2026-40972,Snyk,HIGH,55.4,52.12393044011421,11.821429200337981,Timing Attack,0,0.4,P3_7D
GHSA-36p3-wjmg-h94x#1b3bb3,Grype,CRITICAL,62.1,51.87725850247062,9.244536972597828,Remote Code Execution in Spring Framework,0,0.4,P3_7D
GHSA-36p3-wjmg-h94x#851dc3,Grype,CRITICAL,62.1,51.87725850247062,9.244536972597828,Remote Code Execution in Spring Framework,0,0.4,P3_7D
GHSA-27hp-xhwr-wr2m,Grype,HIGH,46.6,37.60771400033701,17.629481833310354,Apache Tomcat Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability,0,0.4,P4_30D
GHSA-vmq6-5m68-f53m#953bc1,Grype,HIGH,46.6,37.60771400033701,17.629481833310354,logback serialization vulnerability,0,0.4,P4_30D
